Id,Long,Lat,Dist,Nose
3936,4.4133e+05,4.4746e+06,3654.9,-9.7743
3697,4.4179e+05,4.4747e+06,4158.5,7.2799
10018,4.4131e+05,4.4745e+06,3637.4,-6.4166
9893,4.4195e+05,4.4749e+06,4504.6,-8.7656
3720,4.4196e+05,4.4751e+06,4647.6,-14453
9890,4.4198e+05,4.4753e+06,4942.2,-5.8211
3965,4.42e+05,4.4756e+06,5219.8,-3.8577
3998,4.4263e+05,4.4757e+06,5934.9,3.7124
3999,4.4284e+05,4.4757e+06,6153.5,5.0825
4000,4.4299e+05,4.4757e+06,6299.2,1.3721
4005,4.4251e+05,4.4757e+06,5819.5,0.2578
4006,442500000,4.4757e+06,5812.7,-7.7521
4016,4.4212e+05,4.4757e+06,5400.5,-1.2957
4017,442100000,4.4757e+06,5380.5,5.2928
7113,4.4098e+05,4.4745e+06,3290.7,2.4282
3671,4.4143e+05,4.4746e+06,3754.7,8337
4246,4.4111e+05,4.4745e+06,3419.1,19.4
4247,4.4098e+05,4.4745e+06,3290.9,10083
4249,4.4095e+05,4.4745e+06,3253.6,-10292
4272,4.4116e+05,4.4745e+06,3471.2,14791
3765,440900000,4.4745e+06,3200.3,-6.3915
4284,4.3962e+05,4.4751e+06,1727,-5.3561
4286,4.3965e+05,4.4751e+06,1754.2,7.3769
4289,4.3985e+05,4.4749e+06,2050.2,4.6824
4292,4.3975e+05,4475000000,1907.2,11352
4294,4.3998e+05,4.4748e+06,2211.8,3.6004
4297,4.3991e+05,4.4748e+06,2122.3,11775
10386,4.4004e+05,4.4747e+06,2294.3,1.6967
3672,4.4001e+05,4.4747e+06,2250.7,11556
10387,4.4019e+05,4.4746e+06,2464.6,5.5783
4354,4.3952e+05,4.4753e+06,1509.5,1.7455
4301,4.4027e+05,4.4746e+06,2543.6,6.3901
10388,4.4013e+05,4.4746e+06,2409.5,1.2561
3730,4.4044e+05,4.4746e+06,2720.6,-0.80587
4306,4.4057e+05,4.4746e+06,2842.1,4.2399
4307,4.4074e+05,4.4745e+06,3026,9.0601
4308,4.4079e+05,4.4745e+06,3077,2.9344
4309,4.4061e+05,4.4746e+06,2886,8.8984
5764,4.4285e+05,4.4768e+06,7730.1,-5.0286
5765,4.4291e+05,4.4767e+06,7577.2,-2.6474
5766,4.4297e+05,4.4766e+06,7493.1,-7.6003
4341,439100000,4.4761e+06,588.48,-11988
4342,4.3915e+05,4.4761e+06,543.02,4.8565
3745,4.3914e+05,4476000000,680.14,13495
4343,4.3921e+05,4.4759e+06,846.89,4.4996
4346,4.3923e+05,4.4758e+06,866.77,12088
4348,4.3929e+05,4.4757e+06,1026.6,8.9158
4349,439400000,4.4755e+06,1230.6,10016
4350,4.3934e+05,4.4756e+06,1091.2,17907
4351,4.3936e+05,4.4756e+06,1169.5,7.2413
4353,4.3957e+05,4.4752e+06,1595.6,11323
4356,4.3907e+05,4.4763e+06,342.19,9.3144
4357,4.3906e+05,4.4763e+06,334.22,0.92518
7063,4.3935e+05,4.4756e+06,1136.1,13333
7065,4.3935e+05,4.4756e+06,1143.1,7.8009
3717,4.3911e+05,4.4765e+06,6951.1,12116
4624,4.4275e+05,4477000000,7939.6,-8.9799
3741,4.4274e+05,4.4772e+06,8693.8,-2.4913
4625,4.4272e+05,4.4772e+06,8710.5,0.85332
4650,442800000,4.4769e+06,7840,-5.8934
3525,443100000,4.4765e+06,7322.3,-5.2494
3526,4.4313e+05,4.4765e+06,7276.1,0.2388
4651,4.4317e+05,4.4763e+06,7128.5,-4421
4652,4.4316e+05,4.4762e+06,7042.3,-10003
4653,4.4313e+05,4.4761e+06,6901.8,-5.3071
3501,4.4313e+05,4476000000,6815,-5.4367
3502,4.4313e+05,4.4759e+06,6738.5,-9.1319
3503,4.4313e+05,4.4758e+06,6605.7,-10486
4682,4.4312e+05,4.4759e+06,6708.3,3.4094
4684,4.4313e+05,4.4761e+06,6859.1,-9.0091
