line,secDetail,orderDetail,node,distance,distancePreviousStop,name,latitude,longitude
1,10,1,4514,0,0,Cristo Rey,40.43837663681,-3.7179373594436
1,10,1,4022,295,295,Junta Municipal Moncloa,40.435742989087,-3.7184281103148
1,10,1,3687,489,194,Moncloa,40.434042396611,-3.7180916841609
1,10,1,737,759,270,Altamirano,40.432108757309,-3.7175641657325
1,10,1,735,1020,261,Arguelles,40.430054916774,-3.7160804816866
1,10,1,193,1297,277,Princesa-Rey Francisco,40.427893320099,-3.714536804435
1,10,1,173,1542,245,Ventura Rodríguez,40.425965045332,-3.7131371519278
1,10,1,171,1942,400,Gran Vía-Plaza de España,40.42295413872,-3.7105238031888
1,10,1,169,2277,335,Santo Domingo,40.42104500217,-3.7074625238401
1,10,1,167,2666,389,Gran Vía-Callao,40.419971870357,-3.7032078252489
1,10,1,5138,3001,335,Gran Vía-Chueca,40.419517734673,-3.6993604361755
1,10,1,164,3204,203,Círculo de Bellas Artes,40.418864398586,-3.6971541811161
1,10,1,70,3533,329,Cibeles,40.419058253984,-3.6933819132413
1,10,1,162,3979,446,Puerta de Alcalá,40.419602319265,-3.68826826599
1,10,1,423,4474,495,Velázquez-Villanueva,40.422112835908,-3.6842164671703
1,10,1,424,4777,303,Velázquez-Goya,40.424834625695,-3.6840318590608
1,10,1,425,5079,302,Velázquez-Ayala,40.427556692943,-3.6838000855773
1,10,1,426,5355,276,Velázquez-Ortega y Gasset,40.43002680271,-3.6835185871379
1,10,1,731,5654,299,Marqués de Salamanca,40.43003490398,-3.6806185393657
1,10,1,729,6101,447,Lista,40.42982793739,-3.6759715430735
1,10,1,727,6532,431,Parque Eva Duarte,40.429605292131,-3.6708894017994
1,10,1,726,6741,209,Cartagena-Francisco Silvela,40.431040165959,-3.6704662776306
1,10,1,2304,7119,378,Plaza de San Cayetano,40.434401804137,-3.67024028983
1,10,1,721,7461,342,Cartagena-Bejar,40.437226405931,-3.670963973345
1,10,1,717,7820,359,Cartagena,40.439598201731,-3.6736404883526
1,10,1,715,8183,363,Cartagena-Lopez de Hoyos,40.442514917042,-3.6755562176191
1,10,1,745,8599,416,Auditorio Nacional,40.4448885086,-3.6763700287563
1,10,1,273,8795,196,Prosperidad,40.4437079004,-3.6749042978545
1,20,1,273,0,0,Prosperidad,40.4437079004,-3.6749042978545
1,20,1,716,174,174,CARTAGENA-LOPEZ DE HOYOS,40.442477298403,-3.6758270414061
1,20,1,718,540,366,CARTAGENA,40.439570324534,-3.6737864161845
1,20,1,722,899,359,CARTAGENA-BEJAR,40.437135432307,-3.6711163440091
1,20,1,2307,1305,406,PLAZA DE SAN CAYETANO,40.4339044962,-3.6705536770559
1,20,1,725,1559,254,CENTRO CULTURAL BUENAVISTA,40.431983038894,-3.6709943799436
1,20,1,728,1936,377,PARQUE EVA DUARTE,40.429765828607,-3.6711692199906
1,20,1,730,2343,407,LISTA,40.430062293562,-3.6759503113975
1,20,1,732,2795,452,MARQUES DE SALAMANCA,40.430286888973,-3.6806635209653
1,20,1,733,3256,461,ORTEGA Y GASSET-CLAUDIO COELLO,40.43055208234,-3.6860939587922
1,20,1,449,3431,175,Serrano-Ortega y Gasset,40.429572175526,-3.6872629062896
